Census,Week_Start,Week_End,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate
53033011401,4/15/2020,4/29/2020,3,68.34,3,68.34,0,0,56,1275.71,59,1344.05
53033011402,3/31/2020,4/14/2020,6,129.23,6,129.23,0,0,55,1184.59,57,1227.66
53033011402,4/15/2020,4/29/2020,3,64.61,3,64.61,0,0,54,1163.05,58,1249.2
53033011500,3/31/2020,4/14/2020,2,44.7,2,44.7,0,0,55,1229.37,57,1274.07
53033011500,4/15/2020,4/29/2020,0,0,0,0,0,0,48,1072.9,51,1139.96
53033011600,3/31/2020,4/14/2020,1,14.44,1,14.44,0,0,69,996.33,72,1039.65
53033011600,4/15/2020,4/29/2020,0,0,0,0,0,0,77,1111.84,77,1111.84
53033011700,3/31/2020,4/14/2020,13,226.76,13,226.76,0,0,74,1290.76,78,1360.54
53033011700,4/15/2020,4/29/2020,7,122.1,7,122.1,0,0,60,1046.57,71,1238.44
53033011800,3/31/2020,4/14/2020,14,173.77,14,173.77,0,0,96,1191.58,100,1241.23
53033011800,4/15/2020,4/29/2020,11,136.53,11,136.53,0,0,137,1700.48,146,1812.19
53033011900,3/31/2020,4/14/2020,6,78.94,6,78.94,0,0,98,1289.3,102,1341.92
53033011900,4/15/2020,4/29/2020,8,105.25,8,105.25,0,0,104,1368.24,111,1460.33
53033012000,3/31/2020,4/14/2020,0,0,0,0,0,0,31,864.71,36,1004.18
53033012000,4/15/2020,4/29/2020,3,83.68,3,83.68,0,0,48,1338.91,48,1338.91
53033012100,3/31/2020,4/14/2020,1,34.97,1,34.97,0,0,27,944.23,28,979.2
53033012100,4/15/2020,4/29/2020,2,69.94,2,69.94,0,0,40,1398.86,42,1468.8
53033020100,3/31/2020,4/14/2020,14,428.83,14,428.83,0,0,52,1592.8,55,1684.69
53033020100,4/15/2020,4/29/2020,1,30.63,1,30.63,0,0,32,980.18,34,1041.44
53033020200,3/31/2020,4/14/2020,12,207.64,12,207.64,0,0,78,1349.67,81,1401.58
53033020200,4/15/2020,4/29/2020,6,103.82,6,103.82,0,0,77,1332.37,81,1401.58
53033020300,3/31/2020,4/14/2020,6,81.74,6,81.74,0,0,82,1117.12,86,1171.61
53033020300,4/15/2020,4/29/2020,7,95.36,7,95.36,0,0,84,1144.37,89,1212.48
53033020401,3/31/2020,4/14/2020,5,136.13,5,136.13,0,0,50,1361.26,53,1442.94
53033020401,4/15/2020,4/29/2020,7,190.58,7,190.58,0,0,50,1361.26,53,1442.94
53033020402,3/31/2020,4/14/2020,3,53.17,3,53.17,0,0,76,1347.02,77,1364.75
53033020402,4/15/2020,4/29/2020,1,17.72,1,17.72,0,0,52,921.65,55,974.82
53033020500,3/31/2020,4/14/2020,10,140.68,10,140.68,0,0,101,1420.86,108,1519.33
53033020500,4/15/2020,4/29/2020,6,84.41,6,84.41,0,0,94,1322.38,98,1378.65
